TSAs01108g12586m00001	4222657503fb8287b3c11ced255f6848	281	CDD	cd09989	Arginase	12	277	5.06538E-91	T	16-04-2024	IPR014033	Arginase
TSAs01108g12586m00001	4222657503fb8287b3c11ced255f6848	281	Gene3D	G3DSA:3.40.800.10	Ureohydrolase domain	8	280	2.5E-74	T	16-04-2024	-	-
TSAs01108g12586m00001	4222657503fb8287b3c11ced255f6848	281	PANTHER	PTHR43782	ARGINASE	3	60	7.6E-79	T	16-04-2024	IPR006035	Ureohydrolase
TSAs01108g12586m00001	4222657503fb8287b3c11ced255f6848	281	PANTHER	PTHR43782	ARGINASE	68	278	7.6E-79	T	16-04-2024	IPR006035	Ureohydrolase
TSAs01108g12586m00001	4222657503fb8287b3c11ced255f6848	281	PRINTS	PR00116	Arginase signature	103	130	3.1E-34	T	16-04-2024	IPR006035	Ureohydrolase
TSAs01108g12586m00001	4222657503fb8287b3c11ced255f6848	281	PRINTS	PR00116	Arginase signature	202	231	3.1E-34	T	16-04-2024	IPR006035	Ureohydrolase
TSAs01108g12586m00001	4222657503fb8287b3c11ced255f6848	281	PRINTS	PR00116	Arginase signature	80	95	3.1E-34	T	16-04-2024	IPR006035	Ureohydrolase
TSAs01108g12586m00001	4222657503fb8287b3c11ced255f6848	281	PRINTS	PR00116	Arginase signature	237	251	3.1E-34	T	16-04-2024	IPR006035	Ureohydrolase
TSAs01108g12586m00001	4222657503fb8287b3c11ced255f6848	281	SUPERFAMILY	SSF52768	Arginase/deacetylase	12	275	1.3E-56	T	16-04-2024	IPR023696	Ureohydrolase domain superfamily
TSAs01108g12586m00001	4222657503fb8287b3c11ced255f6848	281	ProSiteProfiles	PS51409	Arginase family profile.	1	281	39.820175	T	16-04-2024	IPR006035	Ureohydrolase
TSAs01108g12586m00001	4222657503fb8287b3c11ced255f6848	281	Pfam	PF00491	Arginase family	12	277	4.8E-51	T	16-04-2024	IPR006035	Ureohydrolase
TSAs00113g08825m00001	4222657503fb8287b3c11ced255f6848	281	CDD	cd09989	Arginase	12	277	5.06538E-91	T	16-04-2024	IPR014033	Arginase
TSAs00113g08825m00001	4222657503fb8287b3c11ced255f6848	281	Gene3D	G3DSA:3.40.800.10	Ureohydrolase domain	8	280	2.5E-74	T	16-04-2024	-	-
